Rank,Metro,New housing units authorized per 1k existing homes (2024),New housing units authorized per 1k existing homes (2022),Total new housing units authorized (2024),Total new housing units authorized (2022),Percentage change in housing units authorized (2022–2024),Median home price,Population
165,"Lexington-Fayette, KY",9.3,11.7,"2,201","2,709",-18.8%,"$316,173","517,378"
166,"Iowa City, IA",9.3,18.4,748,"1,429",-47.7%,"$294,347","177,420"
167,"Visalia, CA",9.2,15.5,"1,447","2,385",-39.3%,"$358,369","475,774"
168,"Florence, SC",9.2,8.3,861,759,+13.4%,"$184,284","199,675"
169,"San Diego-Chula Vista-Carlsbad, CA",9.1,7.5,"11,572","9,346",+23.8%,"$945,140","3,282,782"
170,"Mobile, AL",9.1,4.0,"1,715",750,+128.7%,"$195,867","413,162"
171,"Chambersburg, PA",9.1,6.1,623,410,+52.0%,"$279,865","156,626"
172,"Gettysburg, PA",9.1,9.0,403,394,+2.3%,"$329,296","105,183"
173,"Dalton, GA",9.0,8.6,515,480,+7.3%,"$247,993","143,400"
174,"Medford, OR",8.9,11.1,896,"1,080",-17.0%,"$435,319","222,563"
175,"Minneapolis-St. Paul-Bloomington, MN-WI",8.8,15.3,"14,022","23,725",-40.9%,"$389,105","3,693,351"
176,"Janesville-Beloit, WI",8.8,5.6,628,396,+58.6%,"$285,246","163,944"
177,"Portland-Vancouver-Hillsboro, OR-WA",8.7,12.2,"9,453","12,978",-27.2%,"$561,374","2,510,529"
178,"Vallejo, CA",8.7,7.0,"1,455","1,154",+26.1%,"$591,132","450,824"
179,"San Luis Obispo-Paso Robles, CA",8.7,8.8,"1,104","1,111",-0.6%,"$906,212","281,486"
180,"Cedar Rapids, IA",8.7,7.7,"1,087",947,+14.8%,"$234,763","275,960"
181,"Pocatello, ID",8.7,15.0,323,542,-40.4%,"$351,052","88,457"
182,"Rome, GA",8.6,7.6,355,310,+14.5%,"$231,501","98,985"
183,"Mankato, MN",8.5,14.0,377,609,-38.1%,"$307,325","103,736"
184,"Washington-Arlington-Alexandria, DC-VA-MD-WV",8.4,14.3,"21,487","35,906",-40.2%,"$587,645","6,263,796"
185,"Oshkosh-Neenah, WI",8.4,5.9,656,459,+42.9%,"$294,706","171,357"
186,"Midland, MI",8.4,3.5,314,130,+141.5%,"$245,698","83,641"
187,"Waco, TX",8.3,11.1,"1,065","1,393",-23.5%,"$255,331","299,217"
188,"Casper, WY",8.2,5.6,310,208,+49.0%,"$305,496","79,735"
189,"Grand Rapids-Wyoming-Kentwood, MI",8.1,9.0,"3,861","4,198",-8.0%,"$348,241","1,154,320"
190,"La Crosse-Onalaska, WI-MN",8.1,5.2,630,401,+57.1%,"$320,883","169,945"
191,"Rocky Mount, NC",8.1,6.4,550,427,+28.8%,"$200,448","144,228"
192,"Sumter, SC",8.0,10.5,386,502,-23.1%,"$193,272","104,853"
193,"Walla Walla, WA",7.9,6.7,205,170,+20.6%,"$414,667","62,102"
194,"Napa, CA",7.8,19.7,439,"1,100",-60.1%,"$917,378","136,070"
195,"Lewiston, ID-WA",7.8,4.7,226,134,+68.7%,"$369,181","64,901"
196,"Joplin, MO-KS",7.7,13.5,691,"1,197",-42.3%,"$223,111","202,258"
197,"St. Cloud, MN",7.7,8.3,654,696,-6.0%,"$315,588","200,816"
198,"Dothan, AL",7.7,6.9,561,498,+12.7%,"$189,251","151,804"
199,"Little Rock-North Little Rock-Conway, AR",7.5,9.7,"2,606","3,338",-21.9%,"$226,257","753,605"
200,"Longview-Kelso, WA",7.4,12.6,353,585,-39.7%,"$423,523","111,539"
201,"Ann Arbor, MI",7.3,4.1,"1,193",656,+81.9%,"$415,381","368,394"
202,"Sierra Vista-Douglas, AZ",7.3,8.9,441,529,-16.6%,"$262,988","125,458"
203,"Cincinnati, OH-KY-IN",7.2,6.4,"7,089","6,166",+15.0%,"$301,042","2,255,257"
204,"Memphis, TN-MS-AR",7.2,7.4,"4,240","4,301",-1.4%,"$246,017","1,341,606"
205,"New York-Newark-Jersey City, NY-NJ",7.1,8.7,"57,929","69,753",-17.0%,"$705,108","19,756,722"
206,"Birmingham, AL",7.0,7.9,"3,746","4,147",-9.7%,"$257,856","1,181,432"
207,"Albuquerque, NM",7.0,7.1,"2,876","2,852",+0.8%,"$347,310","918,567"
208,"Worcester, MA",7.0,6.3,"2,506","2,252",+11.3%,"$474,074","861,664"
209,"El Paso, TX",7.0,7.6,"2,320","2,465",-5.9%,"$226,350","869,606"
210,"Roanoke, VA",7.0,5.2,"1,053",771,+36.6%,"$292,179","314,661"
211,"York-Hanover, PA",6.9,7.2,"1,335","1,362",-2.0%,"$298,774","459,312"
212,"Houma-Bayou Cane-Thibodaux, LA",6.9,9.9,623,872,-28.6%,"$187,291","204,032"
213,"Ithaca, NY",6.9,5.0,337,239,+41.0%,"$349,920","102,879"
214,"Allentown-Bethlehem-Easton, PA-NJ",6.8,6.2,"2,485","2,232",+11.3%,"$354,729","866,764"
215,"Abilene, TX",6.8,10.5,527,799,-34.0%,"$199,927","178,244"
216,"Lewiston-Auburn, ME",6.8,9.6,346,484,-28.5%,"$331,108","112,323"
217,"Atlantic City-Hammonton, NJ",6.6,3.3,"1,542",762,+102.4%,"$375,100","369,940"
218,"Wausau, WI",6.6,8.0,408,487,-16.2%,"$260,384","138,067"
219,"Appleton, WI",6.3,7.4,659,767,-14.1%,"$336,330","244,163"
